98,Pomona Cafe,Powai, Italian-American;European;Continental,121; 1st Floor; Powai Plaza; Near Hiranandani Gardens; Powai; Mumbai 400076,500,Hiranandani Gardens,3.9,50000
99,FoodPost,Marol Sakinaka, Chinese;Indian,Plot No 38; Shop no 7 Jalaram Commercial center Sakivihar road Sakinaka Mumbai ,300,Andheri East,4.2,30000
100,Good Flippin' Burgers,Powai, Burgers;Fast Food;American,Unit C 111; 112; Kitchen 7; 1st Floor; Building 1; Kailash Industrial Complex; Park Side; Surya Nagar; Vikhroli; Mumbai,600,Park Side,4.5,60000
101,SLYCE,Powai, Italian;Pizzas,C- 111 & C-112; FIRST FLOOR OF BLDG NO.1; KAILASH INDUSTRIAL COMPLEX PARK SIDE ROAD ; HMPL SURYA NAGAR; VIKROLI WEST;; Greater Mumbai Ward-N; Greater Mumbai; Maharashtra-400079,600,Surya Nagar,4.3,60000
102,CakeZone,Powai, Desserts;Bakery,Unit No 007 Kailash Industrial Estate A Wing Bldg No 2 Park Site Near Veer Savarkar Marg Vikhroli West; Greater Mumbai Ward-N; Greater Mumbai; Maharashtra; 400079,200,Near Veer Savarkar Marg,4.3,20000
103,Sweetish House Mafia,Sakinaka, Desserts,Ground Floor; Gala No. 1; Kothari Compound; J. M Marg; Khairani Baug; Vajan Kata; Sakinaka; Andheri East; Mumbai; Maharashtra 400072,250,Sakinaka,4.3,25000
104,NOTO - Healthy Ice Cream,Powai, Ice Cream;Healthy Food,Room no 1 Sainath Nagar IIT M gate sai baba temple A S Marg Powai near Municipal school powai ;greater mumbai Ward S greater Mumbai ; Maharashtra 400076,300,Powai Area,4.4,30000
105,The Quick Bites,Powai, Fast Food;Italian,Shop No.12. Opp. Bldg. No. 3/4 Main Road; Road; Sangharsh Nagar; Chandivali; Andheri East; Mumbai; Maharashtra 400072,200,Sangharsh Nagar,4.8,20000
106,Malini's Health Kitchen,Vikhroli West, South Indian;Healthy Food,Kailas Vaibhav Complex; Gala No AA/55; AA Wing; Ground Floor; Kailas Industrial Complex; Vikhroli West; Mumbai 400079,250,Kailash Industrial Complex,4.3,25000
107,The Belgian Waffle Co.,Greater Mumbai, Waffle;Desserts;Ice Cream;Beverages,SHOP NO 1; GROUND FLOOR; SOLOMON CHS LTD; G L COMPOUND; POWAI; MUMBAI ; Greater Mumbai Ward-S; Greater Mumbai; Maharashtra; 400076,200,POWAI,4.5,20000
108,Southern Breakfast,Sakinaka, Snacks;Healthy Food;South Indian;Beverages,Gala no. A8; Usmaniya Compound; Aslam Compound; Shree Nagar; Opp. Micro Labs; Saki Vihar Road; Sakinaka; Andheri East; Mumbai - 400072,140,Saki Vihar Road,3.8,14000
109,The Belgian Waffle Co.,Greater Mumbai, Waffle;Desserts;Ice Cream;Beverages,SHOP NO 1; GROUND FLOOR; SOLOMON CHS LTD; G L COMPOUND; POWAI; MUMBAI ; Greater Mumbai Ward-S; Greater Mumbai; Maharashtra; 400076,200,POWAI,4.5,20000
110,Southern Breakfast,Sakinaka, Snacks;Healthy Food;South Indian;Beverages,Gala no. A8; Usmaniya Compound; Aslam Compound; Shree Nagar; Opp. Micro Labs; Saki Vihar Road; Sakinaka; Andheri East; Mumbai - 400072,140,Saki Vihar Road,3.8,14000
111,Oriental Majik,Powai, Chinese;Asian,15/A; Situated at Liberty Industrial Estate; Saki Vihar Road; Opp. Micro Lab; Chandivali; Powai; Mumbai - 400072,250,Chandivali,4.3,25000
112,Pink Panther- Chandivali,Powai, Asian;Burmese;Chinese;Sushi;Japanese,15/A; Situated at Liberty Industrial Estate; Saki Vihar Road; Opp. Micro Lab; Chandivali; Powai; Mumbai - 400072,350,Saki Vihar Road,3.8,35000
113,UTTAR DA PUTTAR,Powai, Biryani;North Indian,Laskauz India Pvt Ltd; GALA NO. 2; USMANIA COMPOUND;SHREE NAGAR; SAKINAKA; MUMBAI,500,Shree Nagar,3.3,50000
114,Delhi Desi Chinese ,Powai, North Indian;Indian;Punjabi;Kebabs;Tandoor;Home Food;Biryani;Chinese;Tibetan;Asian;Mughlai,Shop No. 3; Pammi Niwas; IIT Market; Powai; Mumbai - 400074 Landmark: Near Powai Hospital,400,Near Powai Hospital,3.6,40000
115,Forks and Spoons (Gourmet Chinese & Thai),Powai, Chinese;Thai;Pan-Asian;Oriental;Beverages;Desserts,Gala No. 3A; Stanny compound; near SJ Studios; Kherani Road; Sakinaka; Andheri East; Mumbai,300,Andheri East,4.2,30000
116,CAFE HEAVEN,Powai, Indian;Chinese;Tandoor;Biryani,"COMPOUND; NR S J STUDIO; KHERANI ROAD; SAKINAKA""40007",300,Kherani Road,3.5,30000
117,Goila Butter Chicken,Powai, Indian,Cloudchef Pvt Ltd D21 Kailash Vaibhav; inside kailash industrial estate; park site road; Vikhroli,600,Kailash Industrial Estate,4.2,60000
118,Chennai Express - The Food Wagon,Vikhroli West, South Indian,Gala No AA/55; AA Wing; Ground Floor; Kailas Industrial Complex; Vikhroli West; Mumbai 400079,350,Chandivali,4.1,35000
119,Charcoal Eats - Biryani & Beyond,Powai, Biryani;North Indian;Mughlai;Afghani;Hyderabadi;Kebabs,SHOP NO-43;E WING;KAILASH INDUSTRIAL ESTATE;OFF LBS MARG;VIKROLI WEST; Greater Mumbai Ward-S; Greater Mumbai; Maharashtra; 400086,499,Kailash Industrial Estate,4.2,49900
